ID,Name,Country,Date of birth,Place of birth,Gold,Silver,Bronze,Event
4960,Kaingaue David,Kiribati,3/20/1995,Tarawa (KIR),0,0,0,Women's 100m
4961,Kamil Krynski,Poland,5/12/1987,Bialystok,0,0,0,"Men's 200m, Men's 4 x 100m Relay"
4962,Kara Patterson,USA,4/10/1986,Seattle,0,0,0,Women's Javelin Throw
4963,Karam Mohamed Gaber Ebrahim,Egypt,9/1/1979,Alexandria,0,0,0,Men's 84kg Greco-Roman
4964,Karen Hanlen,NewZealand,3/28/1980,WHAKATANE (NZL),0,0,0,Women's Cross-country
4965,Karen Hultzer,SouthAfrica,9/16/1965,Cape Town,0,0,0,Women's Individual
4966,Kari Kristjansson,Iceland,4/23/1981,,0,0,0,Men's Handball
4967,Karla Miguelina Echenique Medina,DominicanRepublic,5/15/1986,Santo Domingo (DOM),0,0,0,Women's Volleyball
4968,Karoline Bjerkeli Grovdal,Norway,6/14/1990,Alesund (NOR),0,0,0,Women's 5000m
4969,Katarzyna Grzybowska,Poland,4/30/1989,Siedlce,0,0,0,Women's Team
4970,Kate Haywood,GreatBritain,4/1/1987,GRIMSBY,0,0,0,Women's 100m Breaststroke
4971,Kate Hornsey,Australia,10/19/1981,,0,1,0,Women's Pair
4972,Katerina Emmons,CzechRepublic,11/17/1983,Plzen (CZE),0,0,0,"Women's 10m Air Rifle, Women's 50m Rifle 3 Positions"
4973,Katherine Driscoll,GreatBritain,3/13/1986,Chatham,0,0,0,Women's Trampoline
4974,Kathleen Hersey,USA,2/21/1990,Athens,0,0,0,Women's 200m Butterfly
4975,Katinka Hosszu,Hungary,5/3/1989,Pecs (HUN),0,0,0,"Women's 200m Butterfly, Women's 200m Individual Medley, Women's 400m Individual Medley, Women's 4x200m Freestyle Relay"
4976,Katsiaryna Hanchar,Belarus,8/30/1988,Gomel,0,0,0,Women's 4 x 100m Relay
4977,Kayoko Fukushi,Japan,3/25/1982,ITAYANAGI,0,0,0,"Women's 5000m, Women's 10,000m"
4978,Keesha Keane,Palau,12/17/1995,Koror (PLW),0,0,0,Women's 50m Freestyle
4979,Kelley Hurley,USA,04/04/1988,,0,0,0,Women's Team Epee
4980,Kelly Parker,Canada,3/8/1981,,0,0,0,Women's Football
4981,Kemal Kucukbay,Turkey,8/23/1982,Sivas (TUR),0,0,0,Men's Road Race
4982,Kemal Mesic,BosniaHerzegovina,8/4/1985,ROGATICA (BIH),0,0,0,Men's Shot Put
4983,Keon Woo Park,SouthKorea,7/18/1991,GYUNGBUK,0,0,0,Men's Team Pursuit
4984,Kerry Hore,Australia,7/3/1981,,0,0,0,Women's Quadruple Sculls
4985,Kerstin Hartmann,Germany,6/14/1988,,0,0,0,Women's Pair
4986,Khaled Houcine,Tunisia,7/19/1990,,0,0,0,Men's Canoe Single (C1) 200m
4987,Khetag Gazyumov,Azerbaijan,4/24/1983,ALANIYA,0,0,0,Men's 96kg Freestyle
4988,Khetag Pliev,Canada,2/20/1984,ALAGIR,0,0,0,Men's 96kg Freestyle
4989,Ki Ju Park,SouthKorea,2/14/1990,Seoul,0,0,0,Women's Hockey
4990,Kifayat Gasimova,Azerbaijan,2/1/1983,KALBAJAR (AZE),0,0,0,Women's -57kg
4991,Kivilcim Kaya,Turkey,3/27/1992,Ankara (TUR),0,0,0,Women's Hammer Throw
4992,Kleberson Davide,Brazil,7/20/1985,Conchal (BRA),0,0,0,Men's 800m
4993,Kohei Hasegawa,Japan,11/22/1984,YAIZU,0,0,0,Men's 55kg Greco-Roman
4994,Konrad Czerniak,Poland,7/11/1989,PULAWY,0,0,0,"Men's 100m Freestyle, Men's 100m Butterfly"
4995,Krishna Poonia,India,5/5/1977,AGROHA (IND),0,0,0,Women's Discus Throw
4996,Kristi Harrower,Australia,3/4/1975,,0,0,0,Women's Basketball
4997,Kristina Gavnholt,CzechRepublic,9/12/1988,Trencin,0,0,0,Women's Singles
4998,Kristine Harutyunyan,Armenia,5/18/1991,Gyumri (ARM),0,0,0,Women's Javelin Throw
4999,Kristy Oatley,Australia,7/18/1978,Sydney (AUS),0,0,0,"Individual Dressage, Team Dressage, CLIVE"
5000,Kseniya Dziatsuk,Belarus,4/23/1986,Gomel,0,0,0,Women's Triple Jump
5001,Ky Hurst,Australia,3/11/1981,NAMBOUR (AUS),0,0,0,Men's 10km Marathon
5002,Kyle Pontifex,NewZealand,2/5/1980,,0,0,0,Men's Hockey
5003,Kyoungdoo Park,SouthKorea,8/3/1984,,0,0,0,Men's Individual Epee
5004,Kyungsuk Park,SouthKorea,4/25/1981,,0,0,0,Men's Handball
5005,Alexandra Lacrabere,France,4/27/1987,,0,0,0,Women's Handball
5006,Audrey Lacroix,Canada,11/17/1983,PONT,0,0,0,Women's 200m Butterfly
5007,Jessie Lacuna,Philippines,12/23/1993,PULILAN  BULACAN (PHI),0,0,0,Men's 200m Freestyle
5008,Vegard Stake Laengen,Norway,2/7/1989,Oslo (NOR),0,0,0,Men's Road Race
5009,Azzedine Lagab,Algeria,9/18/1986,Alger (ALG),0,0,0,Men's Road Race
5010,Bernard Lagat,USA,12/12/1974,Kapsabet (KEN),0,0,0,Men's 5000m
5011,Marouan Laghnej,Tunisia,4/22/1986,,0,0,0,Men's Basketball
5012,Evgeny Lagunov,Russia,12/14/1985,Arkhangelsk,0,0,1,"Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay"
5013,Sergey Lagutin,Uzbekistan,1/14/1981,FERGANA REGION (UZB),0,0,0,Men's Road Race
5014,Aziz Lahbabi,Morocco,2/3/1991,Khénifra (MAR),0,0,0,Men's 5000m
5015,Michael Lahnsteiner,Austria,12/6/1983,GMUNDEN,0,0,0,Men's Singles
5016,Mouhcine Lahsaini,Morocco,8/23/1985,Khouribga (MAR),0,0,0,"Men's Individual Time Trial, Men's Road Race"
5017,Chun Ho Lai,HongKong,2/5/1989,Hong Kong (HKG),0,0,0,Men's 4 x 100m Relay
5018,Samyr Laine,Haiti,7/17/1984,NEWYORK,0,0,0,Men's Triple Jump
5019,Bombayla Devi Laishram,India,2/22/1985,IMPHAL EAST,0,0,0,"Women's Individual, Women's Team"
5020,Devendro Singh Laishram,India,3/2/1992,IMPHAL WEST (IND),0,0,0,Men's Light Fly (49kg)
5021,Sarra Lajnef,Tunisia,9/5/1989,Tunis (TUN),0,0,0,Women's 200m Breaststroke
5022,Btissam Lakhouad,Morocco,12/7/1980,Khouribga (MAR),0,0,0,Women's 1500m
5023,Birendra Lakra,India,2/3/1990,,0,0,0,Men's Hockey
5024,Raul Lall,Guyana,7/27/1994,Georgetown,0,0,0,Men's -60kg
5025,Etienne Lalonde Turbide,Canada,5/12/1989,,0,0,0,Men's Individual Foil
5026,Ivet Lalova,Bulgaria,5/18/1984,Sofia (BUL),0,0,0,"Women's 100m, Women's 200m"
5027,Hin Chung Lam,HongKong,11/4/1986,,0,0,0,Men's Individual Sabre
5028,Holly Lam-Moores,GreatBritain,9/12/1990,,0,0,0,Women's Handball
5029,Eric Lamaze,Canada,4/17/1968,Montreal (CAN),0,0,0,"Individual Jumping, Team Jumping, DERLY CHIN DE MUZE"
5030,Hayat Lambarki,Morocco,5/18/1988,SALE HSSAINE (MAR),0,0,0,Women's 400m Hurdles
5031,Christophe Lambert,Germany,6/3/1985,BRAUNSCHWEIG,0,0,0,Men's -90kg
5032,Regan Lamble,Australia,10/14/1991,Box Hill (AUS),0,0,0,Women's 20km Race Walk
5033,Lankantien Lamboni,Togo,5/31/1990,DAPAONG (TOG),0,0,0,Men's 400m Hurdles
5034,Richard Lambourne,USA,5/6/1975,Louisville,0,0,0,Men's Volleyball
5035,Ayad Lamdassem,Spain,10/11/1981,SIDI IFNI (MAR),0,0,0,"Men's 10,000m"
5036,Kim Lammers,Netherlands,4/21/1981,Amsterdam (NED),0,0,0,Women's Hockey
5037,Christopher Lamont,GreatBritain,12/7/1982,Glasgow,0,0,0,Men's Volleyball
5038,Xing Lan,China,12/10/1990,SICHUAN,0,0,0,Men's 50m Rifle 3 Positions
5039,Gladys Landaverde,ElSalvador,2/23/1990,"SAN IGNACIO, CHALATENANGO (ESA)",0,0,0,Women's 1500m
5040,Niklas Landin Jacobsen,Denmark,12/19/1988,,0,0,0,Men's Handball
5041,Alexandra Landry,Canada,2/10/1994,Montreal (CAN),0,0,0,Group All-Around
5042,Jessica Landstrom,Sweden,12/12/1984,,0,0,0,Women's Football
5043,Livia Lang,Austria,6/3/1994,Budapest (HUN),0,0,0,Women's Duets
5044,Peter Lang,Denmark,6/12/1989,VEJLE (DEN),0,0,0,Men's 49er
5045,Rasmus Lauge Schmidt,Denmark,6/20/1991,,0,0,0,Men's Handball
5046,Jack Laugher,GreatBritain,1/30/1995,HARROGATE,0,0,0,Men's 3m Springboard
5047,Jenna Laukkanen,Finland,3/2/1995,Kuhmo (FIN),0,0,0,"Women's 100m Breaststroke, Women's 200m Breaststroke"
5048,Noora Laukkanen,Finland,2/3/1993,Helsinki (FIN),0,0,0,Women's 400m Individual Medley
5049,Anna Laurell,Sweden,2/12/1980,HYBY (SWE),0,0,0,Women's Middle (75kg)
5050,Irina Lauric,Romania,12/29/1992,,0,0,0,Women's Kayak Double (K2) 500m
5051,Romina Laurito,Italy,5/4/1987,GALLARATE,0,0,0,Group All-Around
5052,German Lauro,Argentina,4/2/1984,Trenque Lauquen (ARG),0,0,0,"Men's Shot Put, Men's Discus Throw"
5053,Louise Laursen,Denmark,6/27/1988,TAASTRUP,0,0,0,"Women's Individual, Women's Team"
5054,Rudi Lausarot,Uruguay,4/3/1975,Rio Negro (URU),0,0,0,Men's 10m Air Rifle
5055,Marcos Lavado Mora,Venezuela,8/22/1991,Barquisimeto,0,0,0,"Men's 200m Butterfly, Men's 4x100m Freestyle Relay"
5056,Marisa Lavanchy,Switzerland,1/4/1990,CULLY,0,0,0,Women's 4 x 100m Relay
5057,Karel Lavicky,CzechRepublic,11/8/1985,Ceske Budejovice (CZE),0,0,0,Men's RS-X
5058,Jason Lavigilante,Mauritius,8/12/1991,VACOAS MAURITIUS (MRI),0,0,0,Men's Fly (52kg)
5059,Renaud Lavillenie,France,9/18/1986,BARBEZIEUX ST HILAIR,0,0,0,Men's Pole Vault
5060,Arseniy Lavrentyev,Portugal,2/1/1983,RUSSIA,0,0,0,Men's 10km Marathon
5061,Elena Mirela Lavric,Romania,2/17/1991,PUNGESTI,0,0,0,Women's 800m
5062,Lukmon Lawal,Nigeria,11/19/1988,Lagos (NGR),0,0,0,Men's Light Heavy (81kg)
5063,Andrew Lawrence,GreatBritain,6/4/1990,,0,0,0,Men's Basketball
5064,Brijesh Lawrence,SaintKittsNevis,12/27/1989,Basseterre (SKN),0,0,0,Men's 4 x 100m Relay
5065,Corinna Lawrence,GreatBritain,6/25/1990,,0,0,0,Women's Individual Epee
5066,Maya Lawrence,USA,7/17/1980,,0,0,0,"Women's Individual Epee, Women's Team Epee"
5067,Micah Lawrence,USA,7/20/1990,Las Cruces,0,0,0,Women's 200m Breaststroke
5068,Matson Lawson,Australia,5/6/1992,Carlton (AUS),0,0,0,Men's 200m Backstroke
5069,Edwige Lawson-Wade,France,5/14/1979,,0,0,0,Women's Basketball
5070,Jian Fang Lay,Australia,3/6/1973,WENGZHOU,0,0,0,"Women's Singles, Women's Team"
5071,Thomas Laybourn,Denmark,9/30/1977,Kobenhavn,0,0,0,Mixed Doubles
5072,Rachel Laybourne,GreatBritain,5/19/1982,Sheffield,0,0,0,Women's Volleyball
5073,Mylene Lazare,France,11/20/1987,Lagny Sur Marne,0,0,1,Women's 4x200m Freestyle Relay
5074,Tetyana Lazareva,Ukraine,7/4/1981,TURKMENISTAN (TKM),0,0,0,Women's 55kg Freestyle
5075,Suzana Lazovic,Montenegro,1/28/1992,,0,0,0,Women's Handball
5076,Yevgeniy Lazuka,Azerbaijan,4/19/1989,Minsk,0,0,0,Men's 100m Butterfly
5077,Aboubakr Seddik Lbida,Morocco,1/26/1980,HAY HASSANI (MAR),0,0,0,Men's Bantam (56kg)
5078,Chien-Ying Le,Taipei,4/17/1990,TAIPEI COUNTY,0,0,0,"Women's Individual, Women's Team"
5079,Huynh Chau Le,Vietnam,11/13/1987,HO CHI MINH CITY,0,0,0,Men's -58kg
5080,Thi Hoang Ngoc Le,Vietnam,7/1/1982,HUNG YEN,0,0,0,"Women's 10m Air Pistol, Women's 25m Pistol"
5081,Chad le Clos,SouthAfrica,4/12/1992,Durban (RSA),1,0,0,"Men's 100m Butterfly, Men's 200m Butterfly, Men's 200m Individual Medley, Men's 400m Individual Medley, Men's 4x200m Freestyle Relay, Men's 4x100m Medley Relay"
5082,Laetitia le Corguille,France,7/29/1986,SAINT,0,0,0,Women's BMX
5083,Jemal le Grand,Aruba,6/30/1994,Oranjestad (ARU),0,0,0,Men's 100m Freestyle
5084,Philippe le Jeune,Belgium,6/15/1960,UKKEL (BEL),0,0,0,"Individual Jumping, Team Jumping, VIGO D'ARSOUILLES"
5085,Erwan Le Pechoux,France,1/13/1982,,0,0,0,"Men's Individual Foil, Men's Team Foil"
5086,Amy Le Peilbet,USA,3/12/1982,,0,0,0,Women's Football
5087,Jacques le Roux,SouthAfrica,10/27/1988,,0,0,0,Men's Hockey
5088,Eugenie le Sommer,France,5/18/1989,,0,0,0,Women's Football
5089,Bobby Lea,USA,10/17/1983,Easton,0,0,0,Men's Omnium
5090,Savanah Leaf,GreatBritain,11/24/1993,London,0,0,0,Women's Volleyball
5091,Tim Leathart,Australia,9/22/1989,DARLINGHURST (AUS),0,0,0,Men's 4 x 100m Relay
5092,Tatyana Lebedeva,Russia,7/21/1976,Bashkortostan,0,0,0,Women's Triple Jump
5093,Spiridon Lebesis,Greece,5/30/1987,Athína (GRE),0,0,0,Men's Javelin Throw
5094,Yannick Lebherz,Germany,1/13/1989,DARMSTADT,0,0,0,"Men's 200m Backstroke, Men's 400m Individual Medley"
5095,Serhiy Lebid,Ukraine,7/15/1975,Dnipropetrovsk,0,0,0,Men's 5000m
5096,Karina Chenelle Leblanc,Canada,3/30/1980,,0,0,0,Women's Football
5097,Pierre Leboucher,France,11/9/1980,Nantes,0,0,0,Men's 470
5098,Eva Lechner,Italy,7/1/1985,Bolzano,0,0,0,Women's Cross-country
5099,Stephanie Leclair,Canada,1/15/1990,Gatineau (CAN),0,0,0,Women's Teams
5100,Fanny Lecluyse,Belgium,3/11/1992,KORTRIJK (BEL),0,0,0,Women's 200m Breaststroke
5101,Camille Lecointre,France,2/25/1985,HARFLEUR,0,0,0,Women's 470
5102,Stella-Iro Ledaki,Greece,7/18/1988,CHANIA (GRE),0,0,0,Women's Pole Vault
5103,Katie Ledecky,USA,3/17/1997,Washington,0,0,0,Women's 800m Freestyle
5104,Delphine Ledoux,France,5/15/1985,Calais,0,0,0,Individual All-Around
5105,Beki Lee,Australia,11/25/1986,Penrith (AUS),0,0,0,Women's 20km Race Walk
5106,Bumyoung Lee,SouthKorea,4/2/1989,,0,0,0,Men's Football
5107,Changwoo Lee,SouthKorea,5/12/1983,,0,0,0,Men's Handball
5108,Chong Wei Lee,Malaysia,10/21/1982,PERAK,0,0,0,Men's Singles
5109,Daehoon Lee,SouthKorea,2/5/1992,Seoul,0,0,0,Men's -58kg
5110,David Lee,USA,3/8/1982,Alpine,0,0,0,Men's Volleyball
5111,Duhaeng Lee,SouthKorea,12/25/1981,JEONNAM,0,0,0,Men's Marathon
5112,Eun Bi Lee,SouthKorea,10/23/1990,,0,0,0,Women's Handball
5113,Eun Ji Lee,SouthKorea,12/11/1989,GYUNGGI,0,0,0,Women's Team Sprint
5114,Geraldine Lee,Singapore,6/19/1987,,0,0,0,"Women's Kayak Single (K1) 200m, Women's Kayak Single (K1) 500m"
5115,Ho Ching Lee,HongKong,11/24/1992,Hong Kong (HKG),0,0,0,Women's Team
5116,Hup Wei Lee,Malaysia,5/5/1987,Selangor (MAS),0,0,0,Men's High Jump
5117,Hyejin Lee,SouthKorea,1/23/1992,GYUNGGI,0,0,0,"Women's Sprint, Women's Keirin, Women's Team Sprint"
5118,Hyun Il Lee,SouthKorea,4/17/1980,Seoul,0,0,0,Men's Singles
5119,In Jong Lee,SouthKorea,8/2/1982,GYUNGGI,0,0,0,Women's +67kg
5120,Jae Woo Lee,SouthKorea,9/28/1979,,0,0,0,Men's Handball
5121,Kar Wai Calvin Lee,HongKong,4/3/1983,Hong Kong,0,0,0,Men's Individual
5122,Minhye Lee,SouthKorea,10/11/1985,GYUNGGI,0,0,0,Women's Omnium
5123,Myung Ho Lee,SouthKorea,12/10/1979,,0,0,0,Men's Hockey
5124,Nam Yong Lee,SouthKorea,9/28/1983,,0,0,0,Men's Hockey
5125,Rajin Lee,SouthKorea,1/10/1990,,0,0,0,Women's Individual Sabre
5126,Seen Lee,Australia,11/15/1982,Melbourne,0,0,0,Women's 63kg
5127,Seonok Lee,SouthKorea,2/2/1981,Seoul,0,0,0,Women's Hockey
5128,Seung Il Lee,SouthKorea,12/21/1982,,0,0,0,Men's Hockey
5129,Seungchul Lee,SouthKorea,7/22/1988,JEONNAM,0,0,0,Men's 60kg Freestyle
5130,Seyeol Lee,SouthKorea,10/15/1990,JEONNAM,0,0,0,Men's 84kg Greco-Roman
5131,Sheng Mu Lee,Taipei,10/3/1986,Taichung,0,0,0,Men's Doubles
5132,Sook-Ja Lee,SouthKorea,6/17/1980,Incheon,0,0,0,Women's Volleyball
5133,Sung Jin Lee,SouthKorea,3/7/1985,Chungnam,1,0,0,"Women's Individual, Women's Team"
5134,Tae Hoon Lee,SouthKorea,5/18/1986,Seoul,0,0,0,Men's RS-X
5135,Wai Sze Lee,HongKong,5/12/1987,Hong Kong (HKG),0,0,0,"Women's Road Race, Women's Sprint, Women's Keirin"
5136,Yong Dae Lee,SouthKorea,9/11/1988,Seoul,0,0,0,"Men's Doubles, Mixed Doubles"
5137,Johannah Leedham,GreatBritain,12/5/1987,,0,0,0,Women's Basketball
5138,Miranda Leek,USA,5/18/1993,Des Moines,0,0,0,"Women's Individual, Women's Team"
5139,Clement Lefert,France,9/26/1987,Nice,1,1,0,"Men's 100m Butterfly, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay, Men's 4x100m Medley Relay"
5140,Enzo Lefort,France,9/29/1991,,0,0,0,"Men's Individual Foil, Men's Team Foil"
5141,Christianne Legentil,Mauritius,5/27/1992,RODRIGUES (MRI),0,0,0,Women's -52kg
5142,Ugo Legrand,France,1/22/1989,MONT,0,0,1,Men's -73kg
5143,Mosito Lehata,Lesotho,4/8/1989,HA MOIMA (LES),0,0,0,Men's 200m
5144,Lauri Lehtinen,Finland,3/25/1987,Helsinki (FIN),0,0,0,Men's 49er
5145,Silja Lehtinen,Finland,11/5/1985,Helsinki (FIN),0,0,0,Women's Elliott 6m
5146,Sheng Lei,China,3/7/1984,,1,0,0,"Men's Individual Foil, Men's Team Foil"
5147,Mike Leigh,Canada,11/25/1984,NANAIMO (CAN),0,0,0,Men's 470
5148,Fran Leighton,GreatBritain,3/30/1982,,0,0,0,Women's Water Polo
5149,Fabian Leimlehner,Austria,9/17/1987,Liestal,0,0,0,Men's Qualification
5150,Janis Leitis,Latvia,4/13/1989,Riga (LAT),0,0,0,Men's 400m
5151,Martin Leiva,Argentina,4/23/1980,,0,0,0,Men's Basketball
5152,Mate Lekai,Hungary,6/16/1988,,0,0,0,Men's Handball
5153,Ana Lelas,Croatia,4/2/1983,,0,0,0,Women's Basketball
5154,Olga A. Leleyko,Ukraine,7/21/1977,,0,0,0,Women's Individual Foil
5155,Christophe Lemaitre,France,6/11/1990,Annecy,0,0,0,"Men's 200m, Men's 4 x 100m Relay"
5156,Braexir Lemboumba,Gabon,5/19/1980,LIBREVILLE (GAB),0,0,0,Men's Bantam (56kg)
5157,Sandra Lemos,Colombia,1/1/1989,CALI (COL),0,0,0,Women's Shot Put
5158,Ivan Lender,Serbia,7/29/1990,Zrenjanin (SRB),0,0,0,"Men's 100m Butterfly, Men's 4x100m Freestyle Relay"
5159,Andrea Lenders,Netherlands,12/29/1980,Groningen (NED),0,0,0,Women's Trampoline
5160,Deon Lendore,TrinidadTobago,10/28/1992,Arima (TRI),0,0,0,"Men's 400m, Men's 4 x 400m Relay"
5161,Luke Lennon-Ford,GreatBritain,5/5/1989,Sutton Coldfield,0,0,0,Men's 4 x 400m Relay
5162,Viktoriia Lenyshyn,Ukraine,5/25/1991,Lviv,0,0,0,Group All-Around
5163,Mike Lenzly,GreatBritain,5/1/1981,,0,0,0,Men's Basketball
5164,Mun Yee Leong,Malaysia,12/4/1984,PERAK (MAS),0,0,0,Women's Synchronised 10m Platform
5165,Carolin Leonhardt,Germany,11/22/1984,,0,0,0,Women's Kayak Four (K4) 500m
5166,Varvara Lepchenko,USA,5/21/1986,,0,0,0,Women's Singles
5167,Julia Lepke,Germany,8/16/1989,,0,0,0,Women's Eight
5168,Penelope Leprevost,France,8/1/1980,Rouen,0,0,0,"Individual Jumping, Team Jumping, MYLORD CARTHAGO"
5169,Florence Lepron,France,1/16/1985,,0,0,0,Women's Basketball
5170,Viktor Leptikov,Kazakhstan,7/2/1987,KYZYL ORDA (KAZ),0,0,0,Men's 400m Hurdles
5171,Sydney Leroux,USA,5/7/1990,,0,0,0,Women's Football
5172,Claire Leroy,France,3/9/1980,Nantes,0,0,0,Women's Elliott 6m
5173,Emmanuel Leroy,Belgium,1/27/1980,,0,0,0,Men's Hockey
5174,Nataliya Leshchyk,Belarus,7/25/1995,Minsk,0,0,0,Group All-Around
5175,Natalia Lesniak,Poland,7/10/1991,SUCHA BESKIDZKA,0,0,0,Women's Individual
5176,Marie-Andree Lessard,Canada,12/6/1977,,0,0,0,Women's Beach Volleyball
5177,Justin Dashaun Lester,USA,9/30/1983,Akron,0,0,0,Men's 66kg Greco-Roman
5178,Eloyse Lesueur,France,7/15/1988,CRETEIL,0,0,0,Women's Long Jump
5179,Aleksander Lesun,Russia,7/1/1988,MINSK REGION,0,0,0,Men's Modern Pentathlon
5180,Joanna Leszczynska,Poland,12/18/1988,,0,0,0,Women's Quadruple Sculls
5181,Laura Letrari,Italy,3/8/1989,Bressanone,0,0,0,Women's 4x100m Freestyle Relay
5182,Yvonne Leuko Chibosso,Cameroon,11/20/1991,,0,0,0,Women's Football
5183,Katrin Leumann,Switzerland,2/8/1982,Basel,0,0,0,Women's Cross-country
5184,Chu Yan Leung,HongKong,4/21/1979,Guangdong,0,0,0,Men's Team
5185,Chun Shek Leung,HongKong,4/26/1986,,0,0,0,Men's Lightweight Double Sculls
5186,Ho Tsun Andy Leung,HongKong,10/20/1990,Hong Kong (HKG),0,0,0,Men's RS-X
5187,Ka Ming Leung,HongKong,12/19/1988,,0,0,0,Men's Individual Epee
5188,Yvonne Leuthold,GreatBritain,1/30/1980,,0,0,0,Women's Handball
5189,Amaury Leveaux,France,12/2/1985,Belfort,1,1,0,"Men's 50m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x200m Freestyle Relay"
5190,Malin Levenstad,Sweden,9/13/1988,,0,0,0,Women's Football
5191,Brice Leverdez,France,4/9/1986,LA GARENNE COLOMBES,0,0,0,Men's Singles
5192,Caitlin Leverenz,USA,2/26/1991,Tucson,0,0,1,"Women's 200m Individual Medley, Women's 400m Individual Medley"
5193,Johnny Leveron,Honduras,2/7/1990,,0,0,0,Men's Football
5194,Julia Levina,Russia,1/2/1973,,0,0,0,Women's Single Sculls
5195,Olga Levina,Russia,3/4/1985,,0,0,0,Women's Handball
5196,Nigel Levine,GreatBritain,4/30/1989,San Fernando (TRI),0,0,0,"Men's 400m, Men's 4 x 400m Relay"
5197,Cameron Levins,Canada,3/28/1989,CAMPBELL RIVER (CAN),0,0,0,"Men's 5000m, Men's 10,000m"
5198,Maximilian Levy,Germany,6/26/1987,Berlin,0,0,1,"Men's Keirin, Men's Team Sprint"
5199,Sylwia Lewandowska,Poland,1/4/1991,,0,0,0,Women's Quadruple Sculls
5200,Marcin Lewandowski,Poland,6/13/1987,Szczecin,0,0,0,Men's 800m
5201,Iain Lewers,GreatBritain,1/5/1984,,0,0,0,Men's Hockey
5202,Andrew Lewis,TrinidadTobago,11/30/1989,Port of Spain (TRI),0,0,0,Men's Laser
5203,Steven Lewis,GreatBritain,5/20/1986,STOKE ON TRENT,0,0,0,Men's Pole Vault
5204,Mark Lewis-Francis,GreatBritain,9/4/1982,Birmingham,0,0,0,Men's 4 x 100m Relay
5205,Gia Lewis-Smallwood,USA,4/1/1979,Urbana,0,0,0,Women's Discus Throw
5206,Amandine Leynaud,France,5/2/1986,,0,0,0,Women's Handball
5207,Danell Leyva,USA,10/30/1991,CARDENAS (CUB),0,0,1,"Men's Individual All-Around, Men's Team, Men's Qualification"
5208,Jose Leyver,Mexico,11/12/1985,NANCHITAL DE LAZARO CARDENAS (MEX),0,0,0,Men's 50km Race Walk
5209,Jason Lezak,USA,11/12/1975,Bellflower,0,1,0,Men's 4x100m Freestyle Relay
5210,Dongxiao Li,China,11/26/1987,Jilin,0,0,0,Women's Hockey
5211,Guojie Li,China,10/15/1985,,0,0,0,Men's Individual Epee
5212,Hongxia Li,China,9/10/1986,Liaoning,0,0,0,Women's Hockey
5213,Jianbo Li,China,11/14/1986,Yunnan,0,0,0,Men's 50km Race Walk
5214,Jiao Li,Netherlands,1/15/1973,QINGDAO CITY,0,0,0,"Women's Singles, Women's Team"
5215,Jiawei Li,Singapore,8/9/1981,Beijing,0,0,0,Women's Team
5216,Jiaxing Li,China,3/19/1990,Hubei,0,0,0,Women's 200m Individual Medley
5217,Jie Li,Netherlands,3/6/1984,SICHUAN,0,0,0,"Women's Singles, Women's Team"
5218,Jingjing Li,China,2/1/1985,FUJIAN,0,0,0,Women's Kayak (K1)
5219,Jinzhe Li,China,9/1/1989,Beijing,0,0,0,Men's Long Jump
5220,Jinzi Li,China,3/4/1990,Heilongjiang,0,0,0,Women's Middle (75kg)
5221,Jun Li,China,11/20/1985,Shanghai,0,0,0,Men's Double Trap
5222,Ling Li,China,2/7/1985,Liaoning,0,0,0,Women's Shot Put
5223,Ling Li,China,7/6/1989,HENAN,0,0,0,Women's Pole Vault
5224,Ling Li,China,3/14/1986,Shandong,0,0,0,Women's RS-X
5225,Lingwei Li,China,1/26/1989,Shandong,0,0,0,Women's Javelin Throw
5226,Michele Li,Canada,11/3/1991,Hong Kong,0,0,0,"Women's Singles, Women's Doubles"
5227,Na Li,China,3/9/1981,,0,0,0,"Women's Individual Epee, Women's Team Epee"
5228,Na Li,China,2/26/1982,,0,0,0,"Women's Singles, Women's Doubles"
5229,Peijing Li,China,5/22/1989,Shaanxi,0,0,0,Women's 50m Rifle 3 Positions
5230,Qian Li,Poland,7/30/1986,Baoding,0,0,0,"Women's Singles, Women's Team"
5231,Qiang Li,China,1/4/1989,Liaoning,0,0,0,"Men's Canoe Single (C1) 200m, Men's Canoe Double (C2) 1000m"
5232,Qiangbing Li,Austria,4/30/1985,PEKING,0,0,0,"Women's Singles, Women's Team"
5233,Shanshan Li,China,3/3/1987,,0,0,0,Women's Basketball
5234,Shujin Li,China,8/1/1982,JIANGXI,0,0,0,Men's 55kg Greco-Roman
5235,Wen-Hua Li,Taipei,12/3/1989,KAOHSIUNG CITY (TPE),0,0,0,Women's Discus Throw
5236,Xiaoxia Li,China,1/16/1988,Liaoning,1,0,0,"Women's Singles, Women's Team"
5237,Xiayan Li,China,12/17/1989,Yunnan,0,0,0,"Men's 100m Breaststroke, Men's 4x100m Medley Relay"
5238,Xuanxu Li,China,2/5/1994,HUNAN,0,0,1,"Women's 400m Freestyle, Women's 400m Individual Medley"
5239,Xue Li,France,4/14/1985,BOSHAN DE ZIBO SH.,0,0,0,Women's Singles
5240,Xuerui Li,China,1/24/1991,Chongqing,0,0,0,Women's Singles
